Episode,Avg length,Avg prey reward,Avg predator reward
10660,505,0.05458288894383363,0.2873745779332923
10680,564,0.06116595408044471,0.27731684608622975
10700,477,0.04441428470956228,0.28825787264594116
10720,494,0.04665222785173852,0.281082333667889
10740,452,0.06327104638294527,0.2811164311698625
10760,508,0.057396943820802994,0.29365825518779004
10780,528,0.04871147538663874,0.27837612905378395
10800,559,0.05806145265838079,0.2796887630000735
10820,473,0.051804616879085684,0.29526660121060994
10840,452,0.05334525886145088,0.282319301552432
10860,543,0.05904718166626814,0.2746808455172986
10880,472,0.05075227355906122,0.2815587320529556
10900,569,0.04590746936450489,0.2632742158104716
10920,526,0.048891816697519644,0.2733058727798051
10940,604,0.0551500689336164,0.25184840579007794
10960,465,0.0431263105639272,0.2771437613531813
10980,457,0.05387211472411437,0.2751140180959591
11000,501,0.06119897186823926,0.2777123428198625
11020,555,0.057006206604376344,0.27329458918534677
11040,545,0.057117177757079064,0.2711853849954946
11060,519,0.056064090211407666,0.270041907334161
11080,540,0.06622625495650596,0.2818230440940962
11100,522,0.051983052389287535,0.2779259878987619
11120,439,0.04721769554807127,0.2809903724545787
11140,461,0.055284322371433034,0.2922939864780899
11160,505,0.05470040404172725,0.2876075081768926
11180,551,0.05682952639729275,0.2770401759881284
11200,549,0.058677784117013465,0.28372222453927043
11220,432,0.058135637118335526,0.2936790200539133
11240,453,0.05131354429648103,0.2918249499736901
11260,606,0.06013624248922119,0.27306975654277277
11280,467,0.05565955161570478,0.28668238720317424
11300,477,0.05826459879441679,0.27684230608205945
11320,496,0.04483536221466071,0.2873676837786151
11340,437,0.038628678722879096,0.2768333663723249
11360,417,0.0354328519008374,0.2825239777823
11380,484,0.030845846268688783,0.27934868830632975
11400,480,0.028134191347801717,0.2801075157846845
11420,428,0.03561993881715153,0.2793544868852035
11440,575,0.044188237350045755,0.2590971525748412
11460,478,0.04949300136186051,0.27502181623017163
11480,491,0.04750424502307919,0.2782317109302166
11500,580,0.03939455798942047,0.2595946984665517
11520,541,0.037092991425859895,0.2696543864660213
11540,561,0.04854508557389785,0.2707101940296238
11560,615,0.0550037886029483,0.25501852257889057
11580,474,0.04710448573045755,0.27991215287768934
11600,604,0.053732382639415044,0.28063519547765386
11620,515,0.05439168901441991,0.2782908920270273
11640,517,0.05514758101046822,0.27292861090738013
11660,470,0.05581987406571674,0.2863059038127876
11680,523,0.05777605154292884,0.2732865507740535
11700,507,0.05295698233753936,0.28172129025363285
11720,432,0.04200213278919383,0.28699865027271176
11740,511,0.04384726958406021,0.2754216071269642
11760,452,0.05550187797070847,0.2855921907243457
11780,399,0.03298005717194589,0.29324161493595324
11800,466,0.05495569630815291,0.2862779108026384
11820,528,0.047756652708878904,0.26558195719327055
11840,506,0.046799543826795784,0.27416985082432477
11860,478,0.03720952772780205,0.2914901200994255
11880,395,0.03529425392067926,0.28932073391468244
11900,669,0.044457563827201715,0.2599531622904235
